Date,Precip,New Snow,Precip_bool,new_snow_bool,rain_bool
1/1/2017,T,0,0,0,0
1/2/2017,0.31,T,1,0,1
1/3/2017,0.46,0,1,0,1
1/4/2017,T,0,0,0,0
1/5/2017,T,T,0,0,0
1/6/2017,0.03,1.1,1,1,0
1/7/2017,0.22,8.2,1,1,0
1/8/2017,T,T,0,0,0
1/9/2017,0,0,0,0,0
1/10/2017,0,0,0,0,0
1/11/2017,0.46,0,1,0,1
1/12/2017,0.1,0,1,0,1
1/13/2017,0,0,0,0,0
1/14/2017,0.15,1.8,1,1,0
1/15/2017,0,0,0,0,0
1/16/2017,0,0,0,0,0
1/17/2017,0.59,0,1,0,1
1/18/2017,0.09,0,1,0,1
1/19/2017,0,0,0,0,0
1/20/2017,0.08,0,1,0,1
1/21/2017,0,0,0,0,0
1/22/2017,0.01,0,1,0,1
1/23/2017,0.84,0,1,0,1
1/24/2017,1.22,0,1,0,1
1/25/2017,0,0,0,0,0
1/26/2017,0.03,0,1,0,1
1/27/2017,T,T,0,0,0
1/28/2017,T,T,0,0,0
1/29/2017,0,0,0,0,0
1/30/2017,0,0,0,0,0
1/31/2017,0.05,0.6,1,1,0
2/1/2017,0,0,0,0,0
2/2/2017,T,T,0,0,0
2/3/2017,0,0,0,0,0
2/4/2017,0,0,0,0,0
2/5/2017,0,0,0,0,0
2/6/2017,0,0,0,0,0
2/7/2017,0.1,0,1,0,1
2/8/2017,T,0,0,0,0
2/9/2017,0.74,8.3,1,1,0
2/10/2017,T,T,0,0,0
2/11/2017,0,0,0,0,0
2/12/2017,0.4,0.1,1,1,0
2/13/2017,T,0,0,0,0
2/14/2017,0,0,0,0,0
2/15/2017,T,0,0,0,0
2/16/2017,0,0,0,0,0
2/17/2017,0,0,0,0,0
2/18/2017,0,0,0,0,0
2/19/2017,0,0,0,0,0
2/20/2017,0,0,0,0,0
2/21/2017,0,0,0,0,0
2/22/2017,0,0,0,0,0
2/23/2017,T,0,0,0,0
2/24/2017,0,0,0,0,0
2/25/2017,0.34,0,1,0,1
2/26/2017,0,0,0,0,0
2/27/2017,0,0,0,0,0
2/28/2017,0,0,0,0,0
3/1/2017,0.01,0,1,0,1
3/2/2017,0,0,0,0,0
3/3/2017,0,0,0,0,0
3/4/2017,0,0,0,0,0
3/5/2017,0,0,0,0,0
3/6/2017,T,0,0,0,0
3/7/2017,0.11,0,1,0,1
3/8/2017,0.05,0,1,0,1
3/9/2017,0,0,0,0,0
3/10/2017,0.26,2.4,1,1,0
3/11/2017,T,T,0,0,0
3/12/2017,0,0,0,0,0
3/13/2017,T,T,0,0,0
3/14/2017,1.94,5.1,1,1,0
3/15/2017,T,T,0,0,0
3/16/2017,0,0,0,0,0
3/17/2017,0,0,0,0,0
3/18/2017,0.07,T,1,0,1
3/19/2017,0,0,0,0,0
3/20/2017,0,0,0,0,0
3/21/2017,0,0,0,0,0
3/22/2017,0,0,0,0,0
3/23/2017,0,0,0,0,0
3/24/2017,T,0,0,0,0
3/25/2017,0.01,0,1,0,1
3/26/2017,0.14,0,1,0,1
3/27/2017,0.19,0,1,0,1
3/28/2017,0.93,0,1,0,1
3/29/2017,0,0,0,0,0
3/30/2017,0.01,0,1,0,1
3/31/2017,2.07,0,1,0,1
4/1/2017,0.01,0,1,0,1
4/2/2017,0,0,0,0,0
4/3/2017,0.03,0,1,0,1
4/4/2017,1.05,0,1,0,1
4/5/2017,T,0,0,0,0
4/6/2017,0.96,0,1,0,1
4/7/2017,T,0,0,0,0
4/8/2017,0,0,0,0,0
4/9/2017,0,0,0,0,0
4/10/2017,0,0,0,0,0
4/11/2017,0,0,0,0,0
4/12/2017,0.05,0,1,0,1
4/13/2017,0,0,0,0,0
4/14/2017,0,0,0,0,0
4/15/2017,T,0,0,0,0
4/16/2017,0.01,0,1,0,1
4/17/2017,T,0,0,0,0
4/18/2017,0,0,0,0,0
4/19/2017,T,0,0,0,0
4/20/2017,0.17,0,1,0,1
4/21/2017,0.03,0,1,0,1
4/22/2017,0.11,0,1,0,1
4/23/2017,0,0,0,0,0
4/24/2017,0.01,0,1,0,1
4/25/2017,0.98,0,1,0,1
4/26/2017,0.48,0,1,0,1
4/27/2017,0.01,0,1,0,1
4/28/2017,T,0,0,0,0
4/29/2017,0.16,0,1,0,1
4/30/2017,T,0,0,0,0
5/1/2017,T,0,0,0,0
5/2/2017,0.02,0,1,0,1
5/3/2017,0,0,0,0,0
5/4/2017,0,0,0,0,0
5/5/2017,1.78,0,1,0,1
5/6/2017,0.05,0,1,0,1
5/7/2017,T,0,0,0,0
5/8/2017,0,0,0,0,0
5/9/2017,0,0,0,0,0
5/10/2017,0,0,0,0,0
5/11/2017,0,0,0,0,0
5/12/2017,0,0,0,0,0
5/13/2017,1.65,0,1,0,1
5/14/2017,0.01,0,1,0,1
5/15/2017,0,0,0,0,0
5/16/2017,0,0,0,0,0
5/17/2017,0,0,0,0,0
5/18/2017,0,0,0,0,0
5/19/2017,0,0,0,0,0
5/20/2017,T,0,0,0,0
5/21/2017,0,0,0,0,0
5/22/2017,0.65,0,1,0,1
5/23/2017,0,0,0,0,0
5/24/2017,0.02,0,1,0,1
5/25/2017,1.14,0,1,0,1
5/26/2017,0.19,0,1,0,1
5/27/2017,0,0,0,0,0
5/28/2017,0,0,0,0,0
5/29/2017,0.29,0,1,0,1
5/30/2017,T,0,0,0,0
5/31/2017,0.03,0,1,0,1
6/1/2017,0,0,0,0,0
6/2/2017,0,0,0,0,0
6/3/2017,0.02,0,1,0,1
6/4/2017,0.09,0,1,0,1
6/5/2017,0.4,0,1,0,1
6/6/2017,0.05,0,1,0,1
6/7/2017,T,0,0,0,0
6/8/2017,0,0,0,0,0
6/9/2017,0,0,0,0,0
6/10/2017,0,0,0,0,0
6/11/2017,0,0,0,0,0
6/12/2017,0,0,0,0,0
6/13/2017,0,0,0,0,0
6/14/2017,0.3,0,1,0,1
6/15/2017,0,0,0,0,0
6/16/2017,0.03,0,1,0,1
6/17/2017,0.34,0,1,0,1
6/18/2017,T,0,0,0,0
6/19/2017,1.12,0,1,0,1
6/20/2017,0.01,0,1,0,1
6/21/2017,0,0,0,0,0
6/22/2017,0,0,0,0,0
6/23/2017,T,0,0,0,0
6/24/2017,1.73,0,1,0,1
6/25/2017,T,0,0,0,0
6/26/2017,0,0,0,0,0
6/27/2017,0.11,0,1,0,1
6/28/2017,0,0,0,0,0
6/29/2017,0,0,0,0,0
6/30/2017,0,0,0,0,0
7/1/2017,0.53,0,1,0,1
7/2/2017,0,0,0,0,0
7/3/2017,T,0,0,0,0
7/4/2017,T,0,0,0,0
7/5/2017,0,0,0,0,0
7/6/2017,T,0,0,0,0
7/7/2017,1.92,0,1,0,1
7/8/2017,T,0,0,0,0
7/9/2017,0,0,0,0,0
7/10/2017,0,0,0,0,0
7/11/2017,0.16,0,1,0,1
7/12/2017,0.01,0,1,0,1
7/13/2017,0.03,0,1,0,1
7/14/2017,0.21,0,1,0,1
7/15/2017,0.01,0,1,0,1
7/16/2017,0,0,0,0,0
7/17/2017,0,0,0,0,0
7/18/2017,0,0,0,0,0
7/19/2017,0,0,0,0,0
7/20/2017,T,0,0,0,0
7/21/2017,0,0,0,0,0
7/22/2017,0.62,0,1,0,1
7/23/2017,0.37,0,1,0,1
7/24/2017,0.78,0,1,0,1
7/25/2017,0,0,0,0,0
7/26/2017,0,0,0,0,0
7/27/2017,T,0,0,0,0
7/28/2017,0,0,0,0,0
7/29/2017,0.01,0,1,0,1
7/30/2017,0,0,0,0,0
7/31/2017,0,0,0,0,0
8/1/2017,0,0,0,0,0
8/2/2017,0.01,0,1,0,1
8/3/2017,T,0,0,0,0
8/4/2017,0.06,0,1,0,1
8/5/2017,0.27,0,1,0,1
8/6/2017,0,0,0,0,0
8/7/2017,0.39,0,1,0,1
8/8/2017,T,0,0,0,0
8/9/2017,0,0,0,0,0
8/10/2017,0,0,0,0,0
8/11/2017,T,0,0,0,0
8/12/2017,0.21,0,1,0,1
8/13/2017,0,0,0,0,0
8/14/2017,T,0,0,0,0
8/15/2017,0.44,0,1,0,1
8/16/2017,0,0,0,0,0
8/17/2017,0,0,0,0,0
8/18/2017,0.27,0,1,0,1
8/19/2017,0,0,0,0,0
8/20/2017,0,0,0,0,0
8/21/2017,0,0,0,0,0
8/22/2017,0.17,0,1,0,1
8/23/2017,0.06,0,1,0,1
8/24/2017,0,0,0,0,0
8/25/2017,0,0,0,0,0
8/26/2017,0,0,0,0,0
8/27/2017,0,0,0,0,0
8/28/2017,0,0,0,0,0
8/29/2017,0.57,0,1,0,1
8/30/2017,0.05,0,1,0,1
8/31/2017,T,0,0,0,0
9/1/2017,0,0,0,0,0
9/2/2017,0.54,0,1,0,1
9/3/2017,0.46,0,1,0,1
9/4/2017,0,0,0,0,0
9/5/2017,0,0,0,0,0
9/6/2017,0.5,0,1,0,1
9/7/2017,T,0,0,0,0
9/8/2017,0,0,0,0,0
9/9/2017,0,0,0,0,0
9/10/2017,0,0,0,0,0
9/11/2017,0,0,0,0,0
9/12/2017,0,0,0,0,0
9/13/2017,0.4,0,1,0,1
9/14/2017,T,0,0,0,0
9/15/2017,0,0,0,0,0
9/16/2017,0,0,0,0,0
9/17/2017,0,0,0,0,0
9/18/2017,T,0,0,0,0
9/19/2017,0.26,0,1,0,1
9/20/2017,0,0,0,0,0
9/21/2017,0,0,0,0,0
9/22/2017,0,0,0,0,0
9/23/2017,0,0,0,0,0
9/24/2017,0,0,0,0,0
9/25/2017,0,0,0,0,0
9/26/2017,T,0,0,0,0
9/27/2017,T,0,0,0,0
9/28/2017,0,0,0,0,0
9/29/2017,0,0,0,0,0
9/30/2017,0.04,0,1,0,1
10/1/2017,0,0,0,0,0
10/2/2017,0,0,0,0,0
10/3/2017,0,0,0,0,0
10/4/2017,0,0,0,0,0
10/5/2017,T,0,0,0,0
10/6/2017,T,0,0,0,0
10/7/2017,0,0,0,0,0
10/8/2017,0.04,0,1,0,1
10/9/2017,0.34,0,1,0,1
10/10/2017,0,0,0,0,0
10/11/2017,0.02,0,1,0,1
10/12/2017,0.08,0,1,0,1
10/13/2017,T,0,0,0,0
10/14/2017,0.01,0,1,0,1
10/15/2017,0.01,0,1,0,1
10/16/2017,T,0,0,0,0
10/17/2017,0,0,0,0,0
10/18/2017,0,0,0,0,0
10/19/2017,0,0,0,0,0
10/20/2017,0,0,0,0,0
10/21/2017,0,0,0,0,0
10/22/2017,0,0,0,0,0
10/23/2017,0,0,0,0,0
10/24/2017,0.51,0,1,0,1
10/25/2017,0,0,0,0,0
10/26/2017,T,0,0,0,0
10/27/2017,0,0,0,0,0
10/28/2017,0,0,0,0,0
10/29/2017,2.84,0,1,0,1
10/30/2017,0.36,0,1,0,1
10/31/2017,0,0,0,0,0
11/1/2017,0,0,0,0,0
11/2/2017,0,0,0,0,0
11/3/2017,T,0,0,0,0
11/4/2017,0,0,0,0,0
11/5/2017,0.05,0,1,0,1
11/6/2017,T,0,0,0,0
11/7/2017,0.78,0,1,0,1
11/8/2017,T,0,0,0,0
11/9/2017,T,0,0,0,0
11/10/2017,T,0,0,0,0
11/11/2017,0,0,0,0,0
11/12/2017,0,0,0,0,0
11/13/2017,0.03,0,1,0,1
11/14/2017,0,0,0,0,0
11/15/2017,0,0,0,0,0
11/16/2017,0.13,0,1,0,1
11/17/2017,0,0,0,0,0
11/18/2017,0.2,0,1,0,1
11/19/2017,0.25,0,1,0,1
11/20/2017,T,T,0,0,0
11/21/2017,0,0,0,0,0
11/22/2017,0.35,0,1,0,1
11/23/2017,0,0,0,0,0
11/24/2017,0,0,0,0,0
11/25/2017,0,0,0,0,0
11/26/2017,0,0,0,0,0
11/27/2017,0,0,0,0,0
11/28/2017,0,0,0,0,0
11/29/2017,0,0,0,0,0
11/30/2017,0.01,0,1,0,1
12/1/2017,0.01,0,1,0,1
12/2/2017,0,0,0,0,0
12/3/2017,T,0,0,0,0
12/4/2017,0,0,0,0,0
12/5/2017,0.3,0,1,0,1
12/6/2017,0.01,0,1,0,1
12/7/2017,0,0,0,0,0
12/8/2017,0,0,0,0,0
12/9/2017,0.33,3.4,1,1,0
12/10/2017,0,T,0,0,0
12/11/2017,T,T,0,0,0
12/12/2017,T,T,0,0,0
12/13/2017,T,T,0,0,0
12/14/2017,0.06,1.4,1,1,0
12/15/2017,0.1,1.3,1,1,0
12/16/2017,0,0,0,0,0
12/17/2017,0,0,0,0,0
12/18/2017,0.02,0,1,0,1
12/19/2017,0,0,0,0,0
12/20/2017,0,0,0,0,0
12/21/2017,0,0,0,0,0
12/22/2017,T,0,0,0,0
12/23/2017,0.62,0,1,0,1
12/24/2017,T,T,0,0,0
12/25/2017,0.17,T,1,0,1
12/26/2017,0,0,0,0,0
12/27/2017,0,0,0,0,0
12/28/2017,0,0,0,0,0
12/29/2017,0,0,0,0,0
12/30/2017,0.03,0.6,1,1,0
12/31/2017,0,0,0,0,0
